"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-1602-3235",29,2018-05-26 03:03:26,2018-07-03 05:25:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-16719",27,2019-07-02 18:51:17,2019-07-03 18:16:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-63062",26,2021-08-01 05:27:30,2021-10-26 16:24:54,"2021-34",1382608,"V16-6x-BLU-2",2021-07-29,"dart",34.4097,-119.55908,"Carpinteria","F",243,"Carcharodon carcharias","7/27/2031","Chris Lowe",NA,NA
"A69-9001-8558",26,2020-07-12 12:54:41,2020-10-09 16:15:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1602-12246",25,2023-08-03 07:42:43,2023-10-09 18:58:59,"DDT-BR-23-04",1307105,"V13-1x-BLU-1",2023-07-28,NA,NA,NA,"Channel Islands","M",NA,"Myliobatis californica",NA,"Chris Lowe",NA,73.5
"A69-9001-12144",23,2018-08-29 13:43:32,2018-11-03 18:58:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9715",22,2018-07-19 18:45:27,2019-07-02 21:59:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-22780",22,2021-10-28 14:14:46,2021-10-30 08:15:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-26864",22,2013-12-17 18:45:08,2015-06-28 16:00:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-4305",22,2022-07-25 11:35:45,2022-07-25 13:38:32,"2022-35",1342066,"V16-6x-069k-1",2022-07-05,"gillnet",34.15256,-119.22833,"Ventura","F",146.9,"Carcharodon carcharias","7/2/2032","Chris Lowe",NA,NA
"A69-9004-14392",21,2021-09-13 14:23:26,2022-01-10 19:52:42,"2021-47",1394089,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.410823,-119.558748,"Carpinteria","M",243,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1602-58097",20,2022-11-04 12:37:04,2023-02-14 23:18:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-58597",20,2021-05-03 21:59:21,2021-05-04 05:47:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9004-14386",20,2021-09-11 22:01:07,2022-11-27 22:34:34,"2021-44",1394086,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.307401,-119.553178,"Carpinteria","F",213,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-9004-14387",20,2021-09-11 21:37:17,2022-11-27 21:38:02,"2021-44",1394086,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.307401,-119.553178,"Carpinteria","F",213,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1602-3230",19,2018-04-30 04:23:45,2018-05-01 22:31:21,"2018-05",1276577,"V13-1x-069k-3",2018-04-15,"dart",34.414803,-119.563216,"Unknown","U",225,"Carcharodon carcharias","1/28/2020","Chris Lowe",NA,NA
