Transmitter,SciName,first_detection,last_detection
A69-9001-12148,Carcharodon carcharias,2018-08-29T09:19:42Z,2018-09-21T13:29:09Z
A69-1602-41962,Carcharodon carcharias,2021-04-26T15:28:35Z,2021-09-25T15:48:39Z
A69-9001-55589,Carcharodon carcharias,2023-01-29T17:55:58Z,2023-02-20T08:28:50Z
A69-9001-62299,Carcharodon carcharias,2021-10-17T12:30:48Z,2021-11-17T04:54:38Z
A69-1602-3235,NA,2018-05-26T03:03:26Z,2018-07-03T05:25:01Z
A69-1602-16719,NA,2019-07-02T18:51:17Z,2019-07-03T18:16:39Z
A69-9001-63062,Carcharodon carcharias,2021-08-01T05:27:30Z,2021-10-26T16:24:54Z
A69-9001-8558,Galeorhinus galeus,2020-07-12T12:54:41Z,2020-10-09T16:15:15Z
A69-1602-12246,Myliobatis californica,2023-08-03T07:42:43Z,2023-10-09T18:58:59Z
A69-9001-12144,Carcharodon carcharias,2018-08-29T13:43:32Z,2018-11-03T18:58:01Z
A69-1602-9715,NA,2018-07-19T18:45:27Z,2019-07-02T21:59:05Z
A69-9001-22780,Galeorhinus galeus,2021-10-28T14:14:46Z,2021-10-30T08:15:01Z
A69-9001-26864,Galeorhinus galeus,2013-12-17T18:45:08Z,2015-06-28T16:00:27Z
A69-9001-4305,Carcharodon carcharias,2022-07-25T11:35:45Z,2022-07-25T13:38:32Z
A69-9004-14392,Carcharodon carcharias,2021-09-13T14:23:26Z,2022-01-10T19:52:42Z
A69-1602-58097,NA,2022-11-04T12:37:04Z,2023-02-14T23:18:20Z
A69-1602-58597,Carcharodon carcharias,2021-05-03T21:59:21Z,2021-05-04T05:47:57Z
A69-9004-14386,Carcharodon carcharias,2021-09-11T22:01:07Z,2022-11-27T22:34:34Z
A69-9004-14387,Carcharodon carcharias,2021-09-11T21:37:17Z,2022-11-27T21:38:02Z
A69-1602-3230,Carcharodon carcharias,2018-04-30T04:23:45Z,2018-05-01T22:31:21Z
A69-9004-14393,Carcharodon carcharias,2021-09-13T14:32:39Z,2022-01-10T19:59:53Z
A69-1602-12255,Triakis semifasciata,2023-10-08T14:53:19Z,2023-10-10T04:23:40Z
A69-9006-7852,Carcharodon carcharias,2020-08-08T19:31:38Z,2020-08-12T15:48:45Z
A69-1602-54050,Carcharodon carcharias,2021-07-20T23:07:15Z,2021-07-22T06:18:48Z
A69-9004-14394,Carcharodon carcharias,2021-08-31T10:21:48Z,2021-10-29T11:36:38Z
A69-9004-14395,Carcharodon carcharias,2021-08-31T10:18:02Z,2021-10-30T05:56:50Z
A69-1303-32547,Carcharodon carcharias,2015-05-23T20:12:26Z,2015-05-25T06:27:13Z
A69-9001-62301,Carcharodon carcharias,2021-11-06T05:20:31Z,2023-10-11T13:06:30Z
A69-9004-12248,Carcharodon carcharias,2023-02-23T14:27:10Z,2023-03-28T00:14:45Z
A69-1601-46727,NA,2017-06-25T01:46:25Z,2017-06-25T04:17:50Z
A69-9004-12247,Carcharodon carcharias,2023-02-23T23:19:04Z,2023-03-28T00:11:25Z
A69-1602-3234,Carcharodon carcharias,2018-05-24T22:05:28Z,2018-07-01T14:59:57Z
A69-9001-12159,Carcharodon carcharias,2018-09-19T01:53:53Z,2020-07-15T01:00:57Z
A69-9001-13032,NA,2020-03-11T22:42:07Z,2020-03-14T10:43:21Z
A69-1604-64951,Triakis semifasciata,2023-10-06T19:10:17Z,2023-10-09T14:29:59Z
A69-1602-41970,Carcharodon carcharias,2022-03-08T05:30:39Z,2022-03-08T20:35:36Z
A69-9001-12053,Carcharodon carcharias,2018-12-13T21:45:15Z,2018-12-14T01:50:57Z
A69-9001-24593,Triakis semifasciata,2014-10-28T20:09:03Z,2014-10-28T20:29:47Z
A69-9001-4340,Carcharodon carcharias,2021-03-25T16:59:17Z,2021-03-25T18:02:16Z
