Transmitter,Days_Detected,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,SciName,est_tag_expiry_date,Owner,standard_length_cm,disk_length,FL
A69-9001-12065,9,2018-04-13,2018-09-16,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-8558,9,2020-07-12,2020-10-09,NA,1301934,NA,2019-07-03,NA,NA,NA,NCI,F,161,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,139
A69-1601-36266,8,2016-05-24,2016-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Alyssa Clevenstine,NA,NA,NA
A69-1602-12246,8,2023-08-03,2023-10-29,DDT-BR-23-04,1307105,V13-1x-BLU-1,2023-07-28,NA,NA,NA,Channel Islands,M,NA,Myliobatis californica,NA,Chris Lowe,NA,73.5,NA
A69-1602-3235,8,2018-05-26,2018-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-41962,8,2021-04-26,2021-09-25,2021-13,1362752,V13-1x-BLU-3,2021-04-01,dart,32.951648,-117.270783,Del Mar,M,152,Carcharodon carcharias,3/9/2022,Chris Lowe,NA,NA,NA
A69-9001-13339,8,2019-11-03,2024-03-29,NA,1273146,NA,2019-07-03,NA,NA,NA,NCI,F,122,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,105
A69-9001-4341,8,2021-03-24,2021-12-29,2021-04,1342062,V16-4x-069k-2,2021-03-24,dart,34.407222,-119.552222,Carpinteria,F,198,Carcharodon carcharias,3/23/2025,Chris Lowe,NA,NA,NA
A69-9001-63063,8,2021-09-11,2023-11-30,2021-40,1382609,V16-6x-BLU-2,2021-08-25,dart,34.03517,-118.543293,Santa Monica,M,192,Carcharodon carcharias,8/23/2031,Chris Lowe,NA,NA,NA
A69-9004-12202,8,2024-03-22,2024-04-30,2022-56,1513495,V16P-6x-BLU-2-0204m,2022-08-12,dart,32.9125345,-117.2602025,Torrey Pines,F,182.9,Carcharodon carcharias,8/9/2032,Chris Lowe,NA,NA,NA
A69-9004-12248,8,2023-02-23,2023-03-28,2022-45,1513472,V16TP-6x-BLU-2-0204m,2022-07-25,dart,32.91503,-117.262,Torrey Pines,F,227,Carcharodon carcharias,7/22/2032,Chris Lowe,NA,NA,NA
A69-9004-14388,8,2021-08-31,2021-11-28,2021-45,1394087,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.404472,-119.55765,Carpinteria,F,228,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-1602-12244,7,2023-10-12,2023-10-18,DDT-BR-23-06,1307103,V13-1x-BLU-1,2023-09-19,NA,NA,NA,Channel Islands,M,NA,Myliobatis californica,NA,Chris Lowe,NA,77,NA
A69-1602-12249,7,2023-10-15,2024-01-07,DDT-BR-23-09,1307108,V13-1x-BLU-1,2023-09-19,NA,NA,NA,Channel Islands,F,NA,Myliobatis californica,NA,Chris Lowe,NA,88,NA
A69-1602-3229,7,2018-05-26,2018-07-03,2018-03,1276576,V13-1x-069k-3,2018-04-15,dart,34.41,-119.556,Unknown,U,167,Carcharodon carcharias,1/28/2020,Chris Lowe,NA,NA,NA
A69-9001-12141,7,2019-09-03,2023-12-17,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,335,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-22779,7,2017-05-31,2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-55589,7,2023-01-29,2023-02-20,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2022,NA,305,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9004-12196,7,2023-10-07,2024-01-02,2022-82,1513489,V16P-6x-BLU-2-0204m,2022-10-10,dart,32.9193,-117.26043,Torrey Pines,M,213.4,Carcharodon carcharias,10/7/2032,Chris Lowe,NA,NA,NA
A69-9004-12247,7,2023-02-23,2023-03-28,2022-45,1513472,V16TP-6x-BLU-2-0204m,2022-07-25,dart,32.91503,-117.262,Torrey Pines,F,227,Carcharodon carcharias,7/22/2032,Chris Lowe,NA,NA,NA
A69-9004-14389,7,2021-08-28,2021-11-23,2021-45,1394087,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.404472,-119.55765,Carpinteria,F,228,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-1604-64960,6,2023-10-12,2024-01-08,DDT-LS-23-05,1575870,V13-1x-BLU-1,2023-09-22,NA,NA,NA,Channel Islands,M,NA,Triakis semifasciata,NA,Chris Lowe,138,NA,NA
A69-9001-12144,6,2018-08-29,2018-11-03,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,290,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-24584,6,2015-11-19,2016-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9002-3587,6,2021-06-23,2021-11-12,2021-27,1382584,V16TP-6x-BLU-2-0204m,2021-06-02,dart,34.41252,-119.562,Carpinteria,F,185,Carcharodon carcharias,5/31/2031,Chris Lowe,NA,NA,NA
A69-1303-46140,5,2013-11-25,2013-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9001-12148,5,2018-08-29,2018-09-21,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-17757,5,2019-08-31,2019-11-04,2018-09,1247203,V16-6x-069k-1,2018-08-04,gillnet,NA,NA,Unknown,M,135,Carcharodon carcharias,8/1/2028,Chris Lowe,NA,NA,NA
A69-9001-24663,5,2015-07-10,2018-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9002-3586,5,2021-06-09,2021-11-23,2021-27,1382584,V16TP-6x-BLU-2-0204m,2021-06-02,dart,34.41252,-119.562,Carpinteria,F,185,Carcharodon carcharias,5/31/2031,Chris Lowe,NA,NA,NA
A69-1601-37966,4,2018-05-26,2018-06-02,2017-13,1222964,V13-1x-069k-3,2017-06-02,dart,33.439678,-117.645967,Unknown,U,275,Carcharodon carcharias,3/17/2019,Chris Lowe,NA,NA,NA
A69-1601-45707,4,2017-11-15,2017-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1601-62505,4,2024-05-01,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-12257,4,2023-09-08,2023-09-13,DDT-BR-23-02,1307116,V13-1x-BLU-1,2023-07-28,NA,NA,NA,Channel Islands,M,NA,Myliobatis californica,NA,Chris Lowe,NA,68,NA
A69-1602-41967,4,2021-09-21,2021-09-24,21-bat_ray-02,1362757,V13-1x-BLU-3,2021-09-21,NA,34.392918,-119.540398,Santa Barbara,F,NA,Myliobatis californica,8/29/2022,Chris Lowe,86,115,NA
A69-1602-9671,4,2016-06-07,2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9001-12159,4,2018-09-19,2020-07-15,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,427,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-26864,4,2013-12-17,2015-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4705,4,2021-09-16,2021-09-25,2021-13,1336189,V16-6x,2021-08-11,gillnet,34.410776,-119.557443,SantaBarbara,M,199,Carcharodon carcharias,8/9/2031,Chris Lowe,NA,NA,NA
A69-9004-12231,4,2022-07-11,2022-07-30,2022-28,1513464,V16TP-6x-BLU-2-0204m,2022-06-15,dart,34.4072883,-119.5527697,Carpinteria,M,274,Carcharodon carcharias,6/12/2032,Chris Lowe,NA,NA,NA
A69-1601-62006,3,2020-08-12,2020-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1601-62095,3,2022-02-11,2022-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-16711,3,2019-05-30,2019-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-29792,3,2018-08-13,2018-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-3233,3,2018-05-14,2020-01-15,2018-04,1276580,V13-1x-069k-3,2018-04-15,dart,34.409333,-119.555333,Unknown,U,150,Carcharodon carcharias,1/28/2020,Chris Lowe,NA,NA,NA
A69-1602-54050,3,2021-07-20,2021-07-22,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2020,NA,396,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-58097,3,2022-11-04,2023-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-58588,3,2020-07-28,2020-07-30,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,NA,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-9717,3,2018-07-19,2019-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-12062,3,2018-03-02,2021-07-24,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,396,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-13032,3,2020-03-11,2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9001-13353,3,2019-09-10,2021-10-06,NA,1273160,NA,2019-07-03,NA,NA,NA,NCI,F,126,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,108
A69-9001-24598,3,2019-06-02,2022-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4711,3,2022-11-30,2024-04-29,2021-66,1336195,V16-6x,2021-10-17,gillnet,34.144396,-119.226135,Oxnard,F,211,Carcharodon carcharias,10/15/2031,Chris Lowe,NA,NA,NA
A69-9001-4985,3,2020-07-25,2020-07-29,2020-04,1334217,V16-6x-069k-2,2020-01-15,dart,35.20901,-120.86189,Diablo Canyon,F,366,Carcharodon carcharias,10/3/2025,Chris Lowe,NA,NA,NA
A69-9001-8568,3,2020-11-11,2021-12-06,2019-09,1301909,V16-4x-069k-2,2019-09-25,dart,35.20901,-120.86189,Diablo Canyon,M,304.8,Carcharodon carcharias,5/19/2021,Chris Lowe,NA,NA,NA
A69-9004-12210,3,2022-05-20,2022-05-23,2022-21,1513503,V16P-6x-BLU-2-0204m,2022-05-05,dart,34.4039279,-119.549353,Carpinteria,F,182.9,Carcharodon carcharias,5/2/2032,Chris Lowe,NA,NA,NA
A69-9004-12212,3,2022-05-18,2022-05-26,2022-17,1513505,V16P-6x-BLU-2-0204m,2022-04-27,dart,34.40827,-119.555,Carpinteria,F,213.36,Carcharodon carcharias,4/24/2032,Chris Lowe,NA,NA,NA
A69-9004-12239,3,2023-02-02,2023-02-12,2022-31,1513468,V16TP-6x-BLU-2-0204m,2022-06-23,dart,32.951165,-117.269957,Del Mar,F,213.4,Carcharodon carcharias,6/20/2032,Chris Lowe,NA,NA,NA
A69-9004-12240,3,2023-02-02,2023-02-13,2022-31,1513468,V16TP-6x-BLU-2-0204m,2022-06-23,dart,32.951165,-117.269957,Del Mar,F,213.4,Carcharodon carcharias,6/20/2032,Chris Lowe,NA,NA,NA
A69-9004-14390,3,2021-09-19,2021-10-05,2021-50,1394088,V16TP-6x-BLU-2-0204m,2021-09-08,dart,34.412137,-119.568694,Carpinteria,F,198,Carcharodon carcharias,9/6/2031,Chris Lowe,NA,NA,NA
A69-9006-7852,3,2020-08-08,2020-08-12,2020-31,1342090,V13P-1x-069k-3-0034m,2020-07-15,dart,34.397899,-119.539882,Carpinteria,F,243,Carcharodon carcharias,3/9/2021,Chris Lowe,NA,NA,NA
A69-9007-606,3,2021-08-03,2022-05-07,2021-31,1362764,V13TP-1x-BLU-3-0034m,2021-07-23,dart,34.413109,-119.5629,Carpinteria,F,213,Carcharodon carcharias,4/8/2022,Chris Lowe,NA,NA,NA
A69-9007-607,3,2021-08-03,2022-05-07,2021-31,1362764,V13TP-1x-BLU-3-0034m,2021-07-23,dart,34.413109,-119.5629,Carpinteria,F,213,Carcharodon carcharias,4/8/2022,Chris Lowe,NA,NA,NA
A69-1303-32547,2,2015-05-23,2015-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,Salvador Jorgensen,NA,NA,NA
A69-1303-33545,2,2016-09-08,2016-09-18,NA,NA,NA,2012-10-11,NA,NA,NA,Farallones,F,500,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1303-4097,2,2018-10-09,2019-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1303-46865,2,2016-03-03,2018-05-15,2015-19,1096832,V16-6x-069k-1,2015-12-16,gillnet,34.3125,-119.49833,Unknown,F,160,Carcharodon carcharias,4/5/2024,Chris Lowe,NA,NA,NA
A69-1303-6347,2,2016-06-23,2016-06-26,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2014,NA,488,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1601-19099,2,2015-07-16,2015-07-20,2014-04,1198170,V13-1x-069k-3,2014-11-06,dart,33.882561,-118.414091,Unknown,U,NA,Carcharodon carcharias,11/3/2015,Chris Lowe,NA,NA,NA
A69-1601-62065,2,2023-02-20,2023-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-14302,2,2019-10-02,2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-16719,2,2019-07-02,2019-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-3230,2,2018-04-30,2018-05-01,2018-05,1276577,V13-1x-069k-3,2018-04-15,dart,34.414803,-119.563216,Unknown,U,225,Carcharodon carcharias,1/28/2020,Chris Lowe,NA,NA,NA
A69-1602-3234,2,2018-05-24,2018-06-14,2018-01,1276581,V13-1x-069k-3,2018-02-04,dart,34.414214,-119.567053,Unknown,U,213,Carcharodon carcharias,11/19/2019,Chris Lowe,NA,NA,NA
A69-1602-3236,2,2018-06-03,2019-10-13,2018-06,1276583,V13-1x-069k-3,2018-04-15,dart,34.411667,-119.559167,Unknown,U,210,Carcharodon carcharias,1/28/2020,Chris Lowe,NA,NA,NA
A69-1602-48637,2,2017-10-23,2018-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-48947,2,2019-07-28,2019-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-54051,2,2021-03-29,2021-04-03,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2020,NA,518,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-58589,2,2021-07-03,2022-07-12,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,427,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-58597,2,2021-05-03,2021-05-04,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,411,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-9715,2,2018-07-19,2019-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-12053,2,2018-12-13,2018-12-14,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,427,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-22780,2,2021-10-28,2021-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-24387,2,2018-01-04,2018-01-05,2016-2MX,1195912,V16-6x-069k-2,2016-07-15,gillnet,27.86708,-114.40843,Unknown,F,193,Carcharodon carcharias,7/13/2026,Chris Lowe,NA,NA,NA
A69-9001-26866,2,2014-06-17,2014-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-26867,2,2014-04-26,2016-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4340,2,2021-03-25,2024-01-05,2021-05,1342061,V16-4x-069k-2,2021-03-24,dart,34.410833,-119.553889,Carpinteria,F,213,Carcharodon carcharias,3/23/2025,Chris Lowe,NA,NA,NA
A69-9001-4708,2,2022-08-28,2024-01-19,2022-58,1336192,V16-6x,2022-08-25,gillnet,34.152527,-119.230898,Ventura,M,156.5,Carcharodon carcharias,8/22/2032,Chris Lowe,NA,NA,NA
A69-9001-55586,2,2023-06-20,2023-06-21,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2022,NA,366,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-56008,2,2024-01-15,2024-01-16,2023-17,1533913,V16-6x-BLU-1,2023-07-24,gillnet,34.1525028,-119.2336502,Oxnard,M,137,Carcharodon carcharias,7/21/2033,Chris Lowe,NA,NA,NA
A69-9001-64475,2,2024-03-08,2024-03-10,NA,NA,NA,2023-11-01,NA,NA,NA,Ano Nuevo ,F,335,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-8556,2,2019-10-13,2020-08-10,NA,1301932,NA,2019-07-03,NA,NA,NA,NCI,M,106,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,91
A69-9001-8566,2,2020-02-21,2020-02-22,2019-14,1100361,V16-5x-069k-2,2019-10-07,dart,35.20901,-120.86189,Diablo Canyon,M,274.32,Carcharodon carcharias,3/24/2022,Chris Lowe,NA,NA,NA
A69-9004-12181,2,2023-01-16,2023-09-26,2022-63,1513474,V16P-6x-BLU-2-0204m,2022-09-02,dart,32.91071,-117.26122,Torrey Pines,F,243.8,Carcharodon carcharias,8/30/2032,Chris Lowe,NA,NA,NA
A69-9004-12199,2,2023-03-19,2023-03-20,2022-79,1513492,V16P-6x-BLU-2-0204m,2022-09-26,dart,32.91688,-117.26067,Torrey Pines,M,243.8,Carcharodon carcharias,9/23/2032,Chris Lowe,NA,NA,NA
A69-9004-12213,2,2022-05-17,2022-05-25,2022-12,1513506,V16P-6x-BLU-2-0204m,2022-04-15,dart,34.408973,-119.555042,Carpinteria,F,268.2,Carcharodon carcharias,4/12/2032,Chris Lowe,NA,NA,NA
A69-9004-12214,2,2022-08-14,2022-09-27,2022-13,1513507,V16P-6x-BLU-2-0204m,2022-04-27,dart,34.409,-119.556,Carpinteria,F,182.88,Carcharodon carcharias,4/24/2032,Chris Lowe,NA,NA,NA
A69-9004-12232,2,2022-07-24,2022-07-25,2022-28,1513464,V16TP-6x-BLU-2-0204m,2022-06-15,dart,34.4072883,-119.5527697,Carpinteria,M,274,Carcharodon carcharias,6/12/2032,Chris Lowe,NA,NA,NA
A69-9004-14391,2,2021-09-22,2021-10-05,2021-50,1394088,V16TP-6x-BLU-2-0204m,2021-09-08,dart,34.412137,-119.568694,Carpinteria,F,198,Carcharodon carcharias,9/6/2031,Chris Lowe,NA,NA,NA
A69-1303-58458,1,2014-08-08,2014-08-08,NA,NA,NA,NA,NA,NA,NA,Tomales 2011,NA,518,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1303-6156,1,2016-06-10,2016-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,Salvador Jorgensen,NA,NA,NA
A69-1303-6165,1,2016-07-15,2016-07-15,NA,NA,NA,NA,NA,NA,NA,Tomales 2015,NA,427,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1303-6338,1,2018-05-24,2018-05-24,NA,NA,NA,NA,NA,NA,NA,Tomales 2015,NA,274,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1303-6349,1,2017-08-29,2017-08-29,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2015,NA,518,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1601-27074,1,2015-03-30,2015-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seriola lalandi,NA,Noah Ben-Aderet,NA,NA,NA
A69-1601-46727,1,2017-06-25,2017-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1601-57523,1,2018-09-28,2018-09-28,2017-01,1219516,V16-6x-069k-2,2017-04-22,dart,33.318807,-117.865563,Unknown,F,NA,Carcharodon carcharias,4/21/2022,Chris Lowe,NA,NA,NA
A69-1601-62806,1,2019-05-22,2019-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-1602-1352,1,2018-05-09,2018-05-09,2017-28,1270633,V13-1x-069k-3,2017-08-24,dart,34.41136,-119.5584,Unknown,U,304,Carcharodon carcharias,6/8/2019,Chris Lowe,NA,NA,NA
A69-1602-2228,1,2018-05-25,2018-05-25,2017-29,1274018,V13-1x-069k-3,2017-08-24,dart,34.41322,-119.56049,Unknown,U,274,Carcharodon carcharias,6/8/2019,Chris Lowe,NA,NA,NA
A69-1602-3231,1,2018-05-25,2018-05-25,2018-07,1276578,V13-1x-069k-3,2018-04-15,dart,34.4115,-119.559167,Unknown,U,175,Carcharodon carcharias,1/28/2020,Chris Lowe,NA,NA,NA
A69-1602-41970,1,2022-03-08,2022-03-08,2021-30,1362760,V13-1x-BLU-3,2021-06-17,dart,32.956213,-117.271898,Del Mar,M,160,Carcharodon carcharias,5/25/2022,Chris Lowe,NA,NA,NA
A69-1602-46492,1,2017-03-11,2017-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-52300,1,2022-05-22,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-54055,1,2023-12-13,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-58084,1,2021-10-29,2021-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-58590,1,2020-12-28,2020-12-28,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,335,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-58591,1,2021-07-29,2021-07-29,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,366,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-58598,1,2020-02-07,2020-02-07,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,366,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1602-8660,1,2020-07-20,2020-07-20,2020-10,1294998,V13-1x-069k-3,2020-04-03,dart,34.404,-119.5475,Carpinteria,U,183,Carcharodon carcharias,12/21/2025,Chris Lowe,NA,NA,NA
A69-9001-12145,1,2018-06-30,2018-06-30,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,457,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-12151,1,2018-11-19,2018-11-19,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-13026,1,2018-01-16,2018-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9001-24593,1,2014-10-28,2014-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-24657,1,2016-05-30,2016-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4305,1,2022-07-25,2022-07-25,2022-35,1342066,V16-6x-069k-1,2022-07-05,gillnet,34.15256,-119.22833,Ventura,F,146.9,Carcharodon carcharias,7/2/2032,Chris Lowe,NA,NA,NA
A69-9001-4319,1,2020-11-16,2020-11-16,2020-26,1342080,V16-6x-069k-1,2020-06-29,gillnet,34.1505658,-119.2356498,Oxnard,F,161,Carcharodon carcharias,6/27/2030,Chris Lowe,NA,NA,NA
A69-9001-4325,1,2021-05-09,2021-05-09,2020-11,1342046,V16-4x-069k-2,2020-04-03,dart,34.404,-119.5475,Carpinteria,F,197,Carcharodon carcharias,11/26/2021,Chris Lowe,NA,NA,NA
A69-9001-4706,1,2022-05-05,2022-05-05,2021-64,1336190,V16-6x,2021-10-14,gillnet,34.161015,-119.237388,Oxnard,M,163,Carcharodon carcharias,10/12/2031,Chris Lowe,NA,NA,NA
A69-9001-55571,1,2023-09-17,2023-09-17,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2022,NA,351,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-55582,1,2023-09-02,2023-09-02,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2022,NA,381,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-56009,1,2023-12-14,2023-12-14,2023-53,1533914,V16-6x-BLU-1,2023-12-09,gillnet,NA,NA,Oxnard,F,140,Carcharodon carcharias,12/6/2033,Chris Lowe,NA,NA,NA
A69-9001-63061,1,2022-02-11,2022-02-11,2021-54,1382607,V16-6x-BLU-2,2021-09-10,dart,32.947642,-117.267535,Del Mar,F,213.36,Carcharodon carcharias,9/8/2031,Chris Lowe,NA,NA,NA
A69-9001-8574,1,2021-11-30,2021-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9001-8577,1,2020-01-30,2020-01-30,2020-02,1301918,V16-4x-069k-2,2020-01-15,dart,35.20901,-120.86189,Diablo Canyon,F,259,Carcharodon carcharias,10/3/2025,Chris Lowe,NA,NA,NA
A69-9004-12183,1,2024-06-06,2024-06-06,2023-15,1513476,V16P-6x-BLU-2-0204m,2023-07-13,dart,32.9016,-117.25733,Torrey Pines,F,198.1,Carcharodon carcharias,7/10/2033,Chris Lowe,NA,NA,NA
A69-9004-12189,1,2024-03-29,2024-03-29,2022-86,1513482,V16P-6x-BLU-2-0204m,2022-10-20,dart,34.469572,-120.20474,Gaviota,U,243.8,Carcharodon carcharias,10/17/2032,Chris Lowe,NA,NA,NA
A69-9004-12205,1,2023-07-21,2023-07-21,2022-44,1513498,V16P-6x-BLU-2-0204m,2022-07-18,dart,32.91605,-117.26111,Torrey Pines,M,198.1,Carcharodon carcharias,7/15/2032,Chris Lowe,NA,NA,NA
