Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9001-26873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2017-04-01T02:52:14Z,2015-04-23T09:44:02Z,242
A69-1601-62095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-29T23:06:09Z,2022-02-11T21:21:44Z,241
A69-1602-8669,2020-35,1295007,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,F,3/25/2022,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-07-31,2021-06-29T04:33:44Z,2020-07-31T19:03:21Z,231
A69-9001-62307,2022-48,1394104,V16-6x-BLU-2,dart,32.91023,-117.259,Torrey Pines,F,8/6/2032,Chris Lowe,NA,NA,Carcharodon carcharias,198.1,2022-08-09,2023-07-15T13:44:36Z,2023-02-02T06:37:23Z,219
A69-1303-46140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-12-10T20:30:55Z,2013-11-25T20:25:25Z,213
A69-9006-7853,2020-20,1342091,V13P-1x-069k-3-0034m,dart,34.404,-119.5475,Carpinteria,M,1/13/2021,Chris Lowe,NA,NA,Carcharodon carcharias,155,2020-05-21,2020-11-10T15:53:16Z,2020-07-23T01:17:17Z,209
A69-9002-3592,2021-18,1382587,V16TP-6x-BLU-2-0204m,dart,34.398305,-119.541996,Carpinteria,F,5/30/2031,Chris Lowe,NA,NA,Carcharodon carcharias,220,2021-06-01,2022-12-19T23:19:16Z,2021-07-20T21:31:13Z,207
A69-1602-29792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-09T07:12:19Z,2018-08-13T19:31:06Z,203
A69-9001-4342,2020-45,1342063,V16-4x-069k-2,dart,34.397899,-119.539882,Carpinteria,F,9/3/2024,Chris Lowe,NA,NA,Carcharodon carcharias,305,2020-09-04,2021-10-14T04:41:14Z,2020-09-06T00:10:51Z,189
A69-9002-3593,2021-18,1382587,V16TP-6x-BLU-2-0204m,dart,34.398305,-119.541996,Carpinteria,F,5/30/2031,Chris Lowe,NA,NA,Carcharodon carcharias,220,2021-06-01,2022-12-09T06:26:20Z,2021-07-05T09:12:18Z,189
A69-9001-26871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-07-31T14:03:10Z,2015-06-30T20:13:21Z,186
